iter	Passed	Remaining
0	64	64723
1	68	34416
2	72	24256
3	76	19021
4	81	16160
5	84	14062
6	88	12584
7	92	11515
8	96	10658
9	100	9964
10	104	9393
11	108	8916
12	111	8502
13	115	8165
14	119	7866
15	123	7618
16	127	7384
17	131	7180
18	135	6988
19	139	6823
20	143	6681
21	147	6543
22	150	6410
23	154	6290
24	158	6179
25	162	6076
26	166	5988
27	169	5895
28	173	5810
29	177	5731
30	181	5676
31	185	5603
32	188	5529
33	193	5490
34	197	5449
35	201	5394
36	206	5370
37	211	5351
38	215	5315
39	219	5270
40	223	5222
41	227	5182
42	231	5148
43	235	5109
44	239	5072
45	242	5037
46	246	5006
47	250	4974
48	254	4943
49	258	4919
50	263	4899
51	267	4869
52	270	4840
53	274	4813
54	279	4793
55	283	4773
56	287	4748
57	291	4733
58	295	4710
59	299	4693
60	303	4667
61	307	4648
62	311	4630
63	315	4614
64	319	4600
65	324	4593
66	328	4579
67	333	4569
68	337	4551
69	341	4539
70	346	4528
71	350	4514
72	354	4496
73	357	4478
74	362	4465
75	366	4456
76	370	4443
77	374	4432
78	379	4419
79	383	4406
80	387	4394
81	393	4404
82	398	4402
83	403	4399
84	410	4417
85	416	4425
86	421	4420
87	426	4422
88	431	4417
89	435	4406
90	440	4404
91	446	4406
92	451	4399
93	455	4392
94	460	4387
95	465	4380
96	469	4372
97	474	4367
98	479	4367
99	484	4360
100	488	4351
101	493	4347
102	498	4341
103	503	4335
104	508	4331
105	512	4326
106	517	4322
107	522	4316
108	527	4315
109	532	4308
110	537	4306
111	543	4305
112	547	4299
113	552	4297
114	558	4300
115	563	4297
116	569	4298
117	574	4297
118	580	4294
119	585	4293
120	591	4299
121	598	4306
122	604	4311
123	611	4320
124	617	4324
125	626	4345
126	633	4352
127	640	4365
128	647	4372
129	655	4383
130	662	4392
131	669	4403
132	677	4415
133	684	4426
134	692	4435
135	700	4451
136	709	4466
137	717	4483
138	725	4493
139	732	4500
140	741	4516
141	748	4520
142	755	4528
143	762	4531
144	770	4542
145	777	4548
146	784	4553
147	791	4558
148	799	4565
149	807	4575
150	814	4579
151	822	4589
152	829	4592
153	836	4597
154	844	4601
155	851	4606
156	858	4609
157	865	4614
158	873	4620
159	880	4621
160	887	4625
161	894	4627
162	901	4631
163	908	4633
164	916	4637
165	922	4636
166	928	4633
167	935	4632
168	941	4629
169	947	4628
170	954	4625
171	959	4620
172	966	4619
173	972	4616
174	978	4614
175	985	4613
176	991	4612
177	999	4616
178	1007	4620
179	1022	4657
180	1030	4662
181	1036	4658
182	1042	4654
183	1049	4653
184	1055	4650
185	1061	4644
186	1067	4641
187	1073	4636
188	1080	4635
189	1085	4629
190	1091	4624
191	1098	4621
192	1104	4618
193	1111	4616
194	1116	4608
195	1121	4600
196	1126	4592
197	1132	4585
198	1137	4578
199	1142	4569
200	1147	4562
201	1152	4554
202	1158	4546
203	1163	4540
204	1169	4533
205	1175	4529
206	1181	4526
207	1187	4523
208	1194	4522
209	1201	4518
210	1208	4519
211	1215	4517
212	1221	4512
213	1248	4585
214	1258	4594
215	1268	4603
216	1276	4604
217	1282	4599
218	1287	4592
219	1295	4592
220	1302	4590
221	1308	4586
222	1314	4580
223	1320	4575
224	1327	4572
225	1334	4570
226	1341	4566
227	1347	4562
228	1354	4559
229	1361	4557
230	1367	4551
231	1373	4546
232	1379	4542
233	1386	4538
234	1392	4532
235	1399	4529
236	1405	4525
237	1413	4526
238	1420	4524
239	1427	4521
240	1434	4517
241	1440	4512
242	1446	4505
243	1451	4497
244	1457	4490
245	1462	4482
246	1467	4474
247	1473	4467
248	1479	4461
249	1484	4453
250	1489	4445
251	1495	4438
252	1501	4431
253	1506	4425
254	1512	4418
255	1517	4410
256	1523	4403
257	1528	4396
258	1533	4386
259	1538	4377
260	1542	4368
261	1547	4359
262	1552	4350
263	1557	4342
264	1562	4333
265	1567	4324
266	1572	4316
267	1577	4308
268	1582	4300
269	1587	4290
270	1591	4281
271	1596	4272
272	1601	4264
273	1606	4256
274	1611	4249
275	1617	4243
276	1622	4235
277	1626	4225
278	1630	4214
279	1635	4205
280	1639	4195
281	1643	4185
282	1648	4175
283	1652	4166
284	1657	4157
285	1661	4147
286	1665	4137
287	1669	4128
288	1674	4118
289	1678	4109
290	1682	4099
291	1686	4089
292	1690	4080
293	1695	4070
294	1699	4061
295	1703	4052
296	1708	4044
297	1712	4035
298	1717	4026
299	1722	4018
300	1726	4008
301	1730	3999
302	1734	3990
303	1738	3981
304	1743	3971
305	1747	3963
306	1751	3954
307	1756	3945
308	1760	3937
309	1766	3931
310	1770	3923
311	1775	3914
312	1779	3905
313	1783	3896
314	1788	3888
315	1792	3879
316	1796	3870
317	1801	3862
318	1805	3854
319	1809	3845
320	1815	3841
321	1821	3834
322	1825	3826
323	1830	3818
324	1834	3810
325	1838	3802
326	1843	3793
327	1847	3784
328	1851	3776
329	1856	3768
